"id","created_at","name","has_test","alternate_url"
"115210704","2025-01-10T08:53:21+0300","Data Scientist",true,"https://hh.ru/vacancy/115210704"
"115118949","2025-01-09T10:22:47+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/115118949"
"115270774","2025-01-10T17:45:10+0300","Специалист по машинному обучению и ИИ/ Data Scientist (middle)",false,"https://hh.ru/vacancy/115270774"
"115111396","2025-01-09T09:22:40+0300","Data Scientist - стажер в банк",false,"https://hh.ru/vacancy/115111396"
"115165793","2025-01-09T15:19:05+0300","Data Scientist",false,"https://hh.ru/vacancy/115165793"
"115060764","2025-01-06T11:54:32+0300","Data Scientist",false,"https://hh.ru/vacancy/115060764"
"113155326","2025-01-11T16:31:55+0300","Junior Data scientist",false,"https://hh.ru/vacancy/113155326"
"112331201","2025-01-01T13:19:14+0300","Data scientist",false,"https://hh.ru/vacancy/112331201"
"112388836","2025-01-09T09:43:48+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/112388836"
"115064292","2025-01-06T14:45:26+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/115064292"
"115097833","2025-01-09T01:01:02+0300","Data-scientist junior level",false,"https://hh.ru/vacancy/115097833"
"114163817","2025-01-09T09:35:20+0300","Data scientist (Junior) в консалтинг",false,"https://hh.ru/vacancy/114163817"
"112307732","2024-12-02T10:13:04+0300","Data Scientist",false,"https://hh.ru/vacancy/112307732"
"115180622","2025-01-10T10:09:19+0300","Data Scientist",false,"https://hh.ru/vacancy/115180622"
"111570608","2024-12-22T11:08:03+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/111570608"
"112763125","2024-12-09T13:02:19+0300","Младший специалист по анализу данных / Junior Data Scientist",false,"https://hh.ru/vacancy/112763125"
"112325803","2024-12-02T12:37:00+0300","Data Scientist / ML-инженер (Big Data) в Зеленограде",false,"https://hh.ru/vacancy/112325803"
"115113641","2025-01-09T09:41:45+0300","Data Scientist",false,"https://hh.ru/vacancy/115113641"
"115259794","2025-01-10T15:46:00+0300","Data scientist middle/senior",false,"https://hh.ru/vacancy/115259794"
"115229709","2025-01-10T11:25:34+0300","ML Data Scientist (Middle)",false,"https://hh.ru/vacancy/115229709"
